,Unnamed: 0,Unnamed: 0.1,name,siren,in pipe ?,web,ban
124,124,124,ALG ATTESTATION LEGALE,852152222,Not in Pipe,https://www.attestationlegale.fr/,False
125,125,125,HISCOX ASSURANCES FRANCE,401121090,Not in Pipe,https://www.hiscox.fr/,False
126,126,126,AUDIENS,884651795,Not in Pipe,https://www.audiens.org/,False
127,127,127,AWP FRANCE,381895127,Not in Pipe,https://www.franceinter.fr/theme/internet,False
128,128,128,FILHET-ALLARD,464201243,In Pipe,https://www.filhetallard.com/,False
129,129,129,ALPTIS ASSURANCES,335244489,Not in Pipe,https://www.alptis.org/,False
130,130,130,HENNER,323377739,Not in Pipe,http://www.henner.com/private/fr,False
131,131,131,APRIL,850833641,Not in Pipe,https://www.april.fr/,False
132,132,132,MSSA,410219042,Not in Pipe,https://www.msa.fr/lfy/espace-prive,False
133,133,133,COVEA,843198433,Not in Pipe,https://www.covea.eu/fr,False
134,134,134,INTER MUTUELLES HABITAT,494671795,Not in Pipe,https://imahabitat.eu/,False
135,135,135,THEOREME,802163394,Not in Pipe,http://www.theoreme.fr/fr/,False
136,136,136,GROUPE SATEC,410649149,Not in Pipe,https://www.satecassur.com/,False
137,137,137,APREVA,428419717,Not in Pipe,https://www.apreva.fr/,False
138,138,138,LA MUTUELLE DES ETUDIANTS (LMDE),811352095,Not in Pipe,https://www.lmde.fr/,False
139,139,139,AXA,799754072,Not in Pipe,https://www.axa.fr/,False
140,140,140,MATMUT,430156802,Not in Pipe,https://www.matmut.fr/,False
141,141,141,GENERALI,510112352,Not in Pipe,https://www.generali.fr/,False
142,142,142,ASSURA,397907122,Not in Pipe,http://fr.assura.ch/,False
143,143,143,SOS PARE-BRISE,823146949,Not in Pipe,https://www.sosparebriseplus.fr/,False
144,144,144,GAN ASSURANCES,382427334,Not in Pipe,https://www.gan.fr/espace-client/premiere-connexion,False
145,145,145,ADELAÏDE GROUP,753740745,Not in Pipe,https://www.adelaidegroup.fr/,False
146,146,146,HDI GLOBAL SE,478913882,Not in Pipe,https://www.hdi.global/fr/fr/about-us/about-us,False
147,147,147,GARANCE,845361880,Not in Pipe,http://www.garance-mutuelle.fr/,False
148,148,148,GROUPE POMONA,852267673,Not in Pipe,https://www.groupe-pomona.fr/,False
149,149,149,APRIL ENTREPRISE,950398131,Not in Pipe,https://april-entreprise.fr/,False
150,150,150,GROUPE VYV,532661832,In Pipe,https://www.groupe-vyv.fr/,False
151,151,151,CELSIDE INSURANCE,847926516,Not in Pipe,https://www.celside.com/fr-be/,False
152,152,152,GRAS SAVOYE,311248637,In Pipe,https://espace-client.grassavoye.com/,False
153,153,153,GRAS SAVOYE,311248637,In Pipe,https://espace-client.grassavoye.com/,False
154,154,154,AGIRC-ARRCO,302927439,Not in Pipe,http://www.agirc-arrco.fr/ressources-documentaires/internet-utile/,False
155,155,155,AXA,799754072,Not in Pipe,https://www.axa.fr/,False
156,156,156,LA FRANCE MUTUALISTE,335043147,Not in Pipe,https://www.la-france-mutualiste.fr/,False
157,157,157,ASSURANCE MALADIE DE ROUBAIX-TOURCOING,514993518,Not in Pipe,https://lannuaire.service-public.fr/hauts-de-france/nord/cpam-59512-01,False
158,158,158,MONCEAU ASSURANCES,555850411,Not in Pipe,https://www.monceauassurances.com/,False
159,159,159,SFAM,380866822,Not in Pipe,https://sfam.eu/fr-fr/,False
160,160,160,FONDS DE GARANTIE  FGAO/FGTI,379155468,Not in Pipe,https://www.fondsdegarantie.fr/,False
161,161,161,GROUPE HENNER,332376292,Not in Pipe,http://www.henner.com/private/fr,False
162,162,162,COVEA,843198433,Not in Pipe,https://www.covea.eu/fr/actualites/nos-articles/covea-finance-devoile-son-nouveau-site-internet,False
163,163,163,AUDIENS,884651795,Not in Pipe,https://www.audiens.org/,False
164,164,164,BPCE VIE,349004341,Not in Pipe,https://www.assurances.natixis.com/jcms/rqczq_6803/bpce-vie,False
165,165,165,NEHS ET MNH,851108076,Not in Pipe,https://www.mnh.fr/files/live/sites/iMNH/files/Presse/2020-05-06-CP%20nehs%20MNH%20INITIATIVES%20Covid-19.pdf,False
166,166,166,CNP ASSURANCES,341737062,In Pipe,erreur,False
167,167,167,COFACE,851127142,Not in Pipe,https://www.coface.fr/,False
168,168,168,ATHENA SURGELES,500040563,Not in Pipe,erreur,False
169,169,169,CNIEL,333158723,In Pipe,https://www.cnil.fr/,False
170,170,170,GROUPE AGRICA,494871551,Not in Pipe,https://www.groupagrica.com/,False
171,171,171,GROUPE ROEDERER,434522488,Not in Pipe,https://www.roederer.fr/fr,False
172,172,172,VERSPIEREN,321502049,In Pipe,https://www.verspieren.com/fr,False
173,173,173,ADIS,877601716,Not in Pipe,http://www.gie-adis.fr/,False
174,174,174,AON,814036802,In Pipe,https://www.aon.com/france/default.jsp,False
175,175,175,IPSEC PREVOYANCE,424972776,Not in Pipe,https://www.ipsecprev.fr/,False
176,176,176,LA MGP - LA MUTUELLE DES FORCES DE SECURITE,309404531,Not in Pipe,https://www.mgp.fr/home.html,False
177,177,177,SOFITECH,432709582,Not in Pipe,http://sofitech.pro/web/FR/DOMAINE-ACTIVITE.php,False
178,178,178,GAN ASSURANCES,382427334,Not in Pipe,https://www.gan.fr/espace-client/premiere-connexion,False
179,179,179,APRIA RSA,804064475,Not in Pipe,https://agentexterne.rc.apriarsa.fr/assureurg/action/assureur/autrc,False
180,180,180,MUTUELLE NATIONALE DES HOSPITALIERS,785308453,Not in Pipe,https://www.mnh.fr/,False
181,181,181,BESSE,341240596,Not in Pipe,https://mairiedebesse.com/,False
182,182,182,MUTUELLES DE VENDEE,786448092,Not in Pipe,erreur,False
183,183,183,ACTA ASSISTANCE,851243766,Not in Pipe,https://www.acta-assistance.com/,False
184,184,184,GROUPE APICIL,789861143,Not in Pipe,https://www.groupe-apicil.com/,False
185,185,185,UNIPREVOYANCE,error,In Pipe,http://uniprevoyance.fr/,False
186,186,186,GFP (GESTION FORMATION PREVOYANCE),830268827,Not in Pipe,https://www.gfpfrance.com/,False
187,187,187,FM GLOBAL,504806191,Not in Pipe,https://www.fmglobal.fr/,False
188,188,188,AGIRC-ARRCO,302927439,Not in Pipe,http://www.agirc-arrco.fr/,False
189,189,189,MUTUELLE JUST,783864150,In Pipe,https://www.just.fr/,False
190,190,190,EDOX SAS,432448827,Not in Pipe,https://www.edox.com/,False
191,191,191,KOHLER ASSURANCES,351045919,Not in Pipe,https://www.kohler.francecourtage.fr/mentions-legales/,False
192,192,192,IXI EXPERTISES GREGORI,444287684,Not in Pipe,https://ixi-groupe.com/,False
193,193,193,GROUPE ASSU 2000,501542336,Not in Pipe,https://www.groupeassu2000.fr/,False
194,194,194,UNION MUTUALISTE RETRAITE,442294856,In Pipe,https://umr-retraite.fr/,False
195,195,195,MGP (MUTUELLE GENERALE DE LA POLICE),775671894,In Pipe,erreur,False
196,196,196,MGEN,839162922,Not in Pipe,http://www.mgen.fr/,False
197,197,197,MGP (MUTUELLE GENERALE DE LA POLICE),775671894,In Pipe,erreur,False
198,198,198,GROUPAMA,315213751,Not in Pipe,https://www.groupama.fr/,False
199,199,199,MMA ASSURANCES,555850411,Not in Pipe,https://www.mma.fr/,False
200,200,200,SAINT-CHRISTOPHE ASSURANCES,555850411,Not in Pipe,https://www.saint-christophe-assurances.fr/,False
201,201,201,SWISS LIFE FRANCE,441475951,Not in Pipe,https://swisslife.fr/,False
202,202,202,BCA EXPERTISE,775723596,Not in Pipe,https://www.bca.fr/,False
203,203,203,ASSURANCES ET MUTUELLES DU SUD,539925016,Not in Pipe,https://www.societe.com/societe/assurances-et-mutuelles-du-sud-539925016.html,True
204,204,204,ETHIAS,523746360,Not in Pipe,https://www.ethias.be/content/campaigns/ethias-campaigns/fr/lp-choix-ib.html?amc_icid=ethias_fr_homepage_btn-keyproduct_lp-choix-ib,False
205,205,205,GROUPE IRCEM,430206581,Not in Pipe,https://www.ircem.com/,False
206,206,206,KLESIA,822768941,Not in Pipe,https://www.klesia.fr/,False
207,207,207,DARVA,437698632,Not in Pipe,http://www.darva.com/,False
208,208,208,FONDS DE GARANTIE  FGAO/FGTI,379155468,Not in Pipe,https://www.fondsdegarantie.fr/,False
209,209,209,MBA MUTUELLE,800820029,Not in Pipe,https://www.mbamutuelle.com/,False
210,210,210,THELEM ASSURANCES,494107014,Not in Pipe,https://www.thelem-assurances.fr/,False
211,211,211,REUNICA,394816508,Not in Pipe,http://www.reunica.com/,False
212,212,212,ACC,845021179,Not in Pipe,https://www.a-c-c.fr/,False
213,213,213,DUROC & CO,841913411,Not in Pipe,https://www.duroc.ma/en/,False
214,214,214,GAN PATRIMOINE,457504694,In Pipe,https://www.ganpatrimoine.fr/,False
215,215,215,MUTUELLE UNEO,509535563,Not in Pipe,https://www.groupe-uneo.fr/,False
216,216,216,AIG,482538675,Not in Pipe,http://www.aig.fr/fr/,False
217,217,217,ACC,845021179,Not in Pipe,https://www.a-c-c.fr/,False
218,218,218,MUTEX OFFICIEL,382920312,Not in Pipe,https://www.mutex.fr/,False
219,219,219,ACS SOLU,881897607,Not in Pipe,https://www.ameli.fr/assure/droits-demarches/difficultes-acces-droits-soins/complementaire-sante/complementaire-sante-solidaire-qui-peut-en-beneficier-et-comment,False
220,220,220,AMELLIS MUTUELLES,775597768,Not in Pipe,https://amellis.fr/,False
221,221,221,APRIL ASSISTANCE,429133580,Not in Pipe,https://www.april.fr/,False
222,222,222,CAT EVM,843660416,Not in Pipe,https://www.cat.com/fr_FR.html,False
223,223,223,DIOT CREDIT,393225214,In Pipe,https://www.diot-credit.com/,False
224,224,224,GROUPE NOVAMUT,389113143,Not in Pipe,https://www.novamut.fr/,False
225,225,225,MUTANT MEDIA,850480203,Not in Pipe,https://mutantgenemedia.com/,False
226,226,226,GROUPE CET,750190399,Not in Pipe,https://www.groupecet.com/accueil-cet-construction,False
227,227,227,INTER MUTUELLES ASSISTANCE - IMA,433240991,In Pipe,http://www.ima.eu/fr/index.php,False
228,228,228,LES MUTUELLES DU SOLEIL,782649883,Not in Pipe,https://www.mutuellesdusoleil.fr/,False
229,229,229,APREVA MUTUELLE,800820029,Not in Pipe,https://www.apreva.fr/,False
230,230,230,PROBTP,853009686,Not in Pipe,https://www.probtp.com/,False
231,231,231,AXA EN FRANCE,771800042,Not in Pipe,https://www.axa.fr/,False
232,232,232,EULER HERMES FRANCE,799376264,Not in Pipe,https://www.eulerhermes.fr/,False
233,233,233,GOOGLA,error,In Pipe,erreur,False
234,234,234,MAIF,844907949,Not in Pipe,https://www.maif.fr/,False
235,235,235,MUTUALITE FRANÇAISE,853152882,Not in Pipe,erreur,False
236,236,236,RIBEIRO,843702895,Not in Pipe,https://www.ribeiro.fr/,False
237,237,237,GROUPE AUDIENS,448323758,Not in Pipe,https://www.audiens.org/accueil.html,False
238,238,238,CARAC MUTUELLE D'EPARGNE ET DE RETRAITE,326592268,Not in Pipe,https://www.carac.fr/,False
239,239,239,MUTUELLE DE FRANCE PLUS,782814818,Not in Pipe,https://www.francemutuelle.fr/particuliers/mutuelle-plus-quun-mot/activer-mon-compte/,False
240,240,240,PROTECT SA,847765906,Not in Pipe,https://www.commentcamarche.net/contents/279-proteger-son-site-internet-contre-les-contrefacons,False
241,241,241,APICIL LIFE S.A,538611286,Not in Pipe,https://www.groupe-apicil.com/nous-connaitre/organisation/apicil-life/,False
242,242,242,LA REUNION AERIENNE,703002352,Not in Pipe,erreur,False
243,243,243,GEOCOSM,error,In Pipe,https://fr.kompass.com/c/geocosm-sa/ch845892/,True
244,244,244,DARVA,437698632,Not in Pipe,http://www.darva.com/,False
245,245,245,MSA DU VAR,782649883,Not in Pipe,https://provenceazur.msa.fr/,False
246,246,246,SPB SERVICES,849951421,Not in Pipe,https://rueducommerce.spb-services.eu/mentions_legales,False
247,247,247,MACIF,781452511,Not in Pipe,https://www.macif.fr/assurance/particuliers,False
